"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"CP7 EROSION CONTROL STRUCTURE",0,0,0,0,16,16,15,15,0,0
"CP8 GRASS WATERWAYS",0,0,0,0,396,379,346,342,0,0
"CP8A GRASS WATERWAY NONEASE",0,0,0,0,1112,1109,1109,1113,1115,1093
"CP9 SHALLOW WATER AREAS FOR WL",0,0,0,0,705,677,679,678,0,0
"CPT",0,0,0,0,0,0,0,5,0,0
"CRAB",1,1,2,0,0,0,0,1,1,1
"CRABGRASS",231,242,348,265,243,266,316,349,337,360
"CRANBERRY",61,53,78,85,79,92,92,68,88,85
"CRAPPIE",3,3,5,5,7,8,8,8,9,11
"CRASPEDIA",0,0,1,1,2,0,2,3,5,4
"CRAYFISH",44,41,79,77,73,61,64,63,65,58
"CREAM",70,70,107,91,91,80,88,79,82,77
"CREEPING BENTGRASS",6,8,20,21,16,13,11,18,13,10
"CREEPING PHLOX",3,1,1,3,0,0,0,0,2,2
"CRESSIE",5,8,9,11,6,6,4,6,3,8
"CRESTED WHEAT",446,425,600,587,564,551,564,580,586,585
"CRIMSON",8,7,17,19,17,10,15,19,17,21
"CRIMSON CLOVER",93,67,68,91,90,104,110,107,82,75
"CRIMSON SEEDLESS",5,3,9,12,10,8,8,5,6,6
"CRIMSON SWEET",52,49,207,185,146,155,131,143,163,142
"CRISPHEAD",47,47,76,74,77,59,67,58,75,62
"CROOKNECK",63,54,162,180,134,105,130,137,157,121
"CROTOLARIA",0,0,0,0,2,0,0,0,0,0
"CROWDER",101,83,131,100,83,90,74,77,69,60
"CROWN FLOWER/GIANT MILKWEED",0,0,0,1,1,1,0,2,0,0
"CROWN VETCH",17,21,12,17,14,7,9,14,14,8
"CUBANELLS",56,65,105,113,105,91,87,102,94,99
"CUPHEA",1,0,0,0,1,0,0,0,0,0
"CURLY ENDIVE",9,7,14,12,8,8,7,13,1,8
"CUSHAW",47,48,56,45,35,31,40,53,34,41
"CYNTHIA",8,7,15,11,8,5,5,4,4,4
"CYNTHIANA",11,16,13,13,15,18,17,20,19,15
"DAFFODIL",6,5,6,2,4,9,5,2,3,4
"DAHLIA",17,14,27,15,13,15,17,25,28,27
"DAIKON",27,42,54,82,87,98,111,117,71,55
"DAISY- GERBERA",0,0,0,4,0,0,4,2,0,0
"DAISY  GERBERA",0,0,0,0,0,0,0,0,0,1
"DAISY GERBERA",0,0,2,0,0,0,0,0,0,0
"DAISY GLORIOSA",1,1,3,5,3,2,0,2,4,2
"DAISY MARGUERITE",1,0,2,2,2,0,0,0,0,0
"DAISY SHASTA",1,1,7,3,2,3,1,3,4,2
"DAISY, GERBERA",2,1,0,0,0,0,0,0,0,0
"DALLIS",82,84,85,80,72,66,72,85,93,87
"DAMES ROCKET",0,0,0,0,0,0,0,0,2,4
"DANDELIONS",16,14,23,26,12,17,22,22,22,25
"DARK AIR CURED (035)",30,32,42,32,32,29,30,30,0,0
"DARK AIR CURED (036)",9,8,10,10,11,12,13,12,0,0
"DARK RED KIDNEY",92,85,135,113,157,178,194,139,127,152
"DAY LILY",10,11,20,22,24,20,23,22,18,12
"DECHAUNAC",26,21,34,29,31,30,29,31,30,29
"DEERTONGUE",1,1,3,4,3,2,2,2,2,2
"DELAWARE",10,9,12,14,15,18,17,16,16,14
"DELPHINIUM",4,7,6,2,3,0,0,4,2,5
"DEODEOK (FALSE GINSENG)",0,0,2,2,0,0,0,0,0,0
"DIAMOND",5,6,9,10,12,14,17,18,14,15
"DIANNE",1,3,2,0,0,2,2,2,3,1
"DICHONDRA",2,2,4,4,2,2,2,2,2,2
"DILL",102,120,163,163,138,135,142,121,130,125
"DIPLOID AMUR",3,2,2,2,4,4,2,0,0,0
"DOLCETTO",8,8,15,13,9,15,12,15,17,19
"DORNFELDER",3,3,5,8,8,11,12,9,8,7
"DOUGLAS",101,103,133,136,146,138,140,130,130,122
"DOVE PROSO",269,259,224,240,255,230,234,194,193,212
"DOYLE BLACKBERRIES",5,4,11,15,7,9,14,10,11,13
"DUNGUA",3,2,1,2,1,0,2,0,4,2
"DUTCHESS",2,1,2,1,1,1,1,1,1,1
"E/KOA",1,1,1,1,1,0,0,0,0,0
"EARLY",110,114,158,161,164,154,175,183,169,205
"EARLY MIDSEASON",16,18,26,30,22,29,50,36,38,52
"EARLY SEASON",0,0,26,30,26,22,21,20,20,19
"EASTERN GAMA",0,0,0,0,0,0,0,0,28,39
"EASTERN GRAMA",170,137,179,163,150,151,165,160,146,140
"ECHEVERIA",0,0,1,0,0,0,0,0,0,0
"ECHINACEA",5,8,5,6,7,9,5,9,10,13
"EDAMAME SOYBEANS",18,40,53,59,58,45,51,54,59,48
"EDELWIESS",38,34,56,58,64,58,57,58,55,56
"EDIBLE",1,2,4,2,2,2,0,0,2,0
"EDIBLE CONTAINER",0,0,2,2,2,7,9,4,4,16
"EDIBLE FIELD",5,5,20,19,33,25,18,20,24,23
"EGG",0,0,0,0,0,0,0,3,0,0
"EGYPTIAN WHEAT",1,0,3,4,2,3,2,1,0,0
"EINSETT",3,3,6,4,4,4,6,6,5,9
"ELEPHANT EAR",1,1,2,1,1,1,0,0,2,0
"ELEPHANT GARLIC",19,14,14,16,18,10,8,15,19,13
"ELVIRA",8,8,7,8,10,12,12,11,11,11
"EMERALD",1,1,4,4,0,0,2,9,0,0
"EMERALD RIESLING",1,1,0,0,0,0,1,1,2,2
"EMERALD SEEDLESS",0,0,2,3,5,3,5,5,7,7
"EMERALD ZOYSIA",0,0,0,0,0,0,0,0,9,10
"EMPERORS",2,2,2,2,1,1,3,3,2,2
"ENGELMANN SPRUCE",0,0,0,2,3,5,4,6,6,6
"ENGELMANNS DAISY",0,0,0,0,0,0,0,0,1,1
"ENGLISH",110,108,134,135,129,129,134,126,120,133
"ENGLISH/GARDEN",98,85,188,205,184,155,214,232,225,195
"ESCAROLE",17,19,27,29,31,22,22,18,10,14
"ESPIRIT",5,5,2,3,5,6,4,4,3,3
"EUCALYPTUS",7,7,9,9,12,10,12,12,18,15
"EUPHORBIA",0,1,2,1,4,0,0,0,3,0
"EUROPEAN",262,255,440,449,372,350,417,396,392,379
"EVANGELINE",0,0,8,15,14,11,12,12,12,7
"EVENING PRIMROSE",2,0,3,0,2,0,0,1,3,3
"EVERGREEN BLACKBERRIES",33,30,42,39,42,40,42,44,35,37
"EXOTIC",4,4,6,7,6,6,3,3,3,3
"FALL PLANTED WHITE & YELLOW",16,20,69,41,38,38,36,42,37,47
"FALL SEEDED",159,152,223,213,308,385,380,247,282,257
"FALSE SUNFLOWER",7,7,4,3,4,2,1,0,0,0
"FANTASY",1,1,0,0,2,2,0,0,0,0
"FAVA",29,35,39,36,33,34,29,51,0,0
"FAVA/FABA",0,0,0,0,0,0,0,0,67,42
"FENNEL/ANISE",28,26,48,47,42,34,43,64,52,50
"FENUGREEK",11,10,19,14,13,11,15,18,12,8
"FERN FRONDS",0,0,0,0,0,0,0,0,5,5
"FESCUE- CHEWING",0,0,0,101,80,77,79,66,0,0
"FESCUE- HARD",0,0,0,73,61,66,62,66,0,0
"FESCUE- MEADOW",0,0,0,202,203,188,192,207,0,0
"FESCUE- RED",0,0,0,86,60,67,70,59,0,0
"FESCUE- ROUGH",0,0,0,29,21,18,13,15,0,0
"FESCUE- TALL",0,0,0,2461,2444,2518,2596,2600,0,0
"FESCUE  CHEWING",0,0,0,0,0,0,0,0,67,63
"FESCUE  HARD",0,0,0,0,0,0,0,0,59,64
"FESCUE  MEADOW",0,0,0,0,0,0,0,0,227,235
"FESCUE  RED",0,0,0,0,0,0,0,0,67,64
"FESCUE  ROUGH",0,0,0,0,0,0,0,0,13,13
"FESCUE  TALL",0,0,0,0,0,0,0,0,2684,2730
"FESCUE CHEWING",0,0,126,0,0,0,0,0,0,0
"FESCUE HARD",0,0,86,0,0,0,0,0,0,0
"FESCUE MEADOW",0,0,282,0,0,0,0,0,0,0
"FESCUE RED",0,0,139,0,0,0,0,0,0,0
"FESCUE ROUGH",0,0,46,0,0,0,0,0,0,0
"FESCUE TALL",0,0,2850,0,0,0,0,0,0,0
"FESCUE, CHEWING",53,51,0,0,0,0,0,0,0,0
"FESCUE, HARD",44,31,0,0,0,0,0,0,0,0
"FESCUE, MEADOW",38,26,0,0,0,0,0,0,0,0
"FESCUE, RED",54,41,0,0,0,0,0,0,0,0
"FESCUE, ROUGH",7,2,0,0,0,0,0,0,0,0
"FESCUE, TALL",1806,1794,0,0,0,0,0,0,0,0
"FFS",0,0,0,0,1,7,4,6,0,0
"FIANO",0,0,0,0,0,0,0,0,4,6
"FIELD",452,434,658,615,594,558,603,592,545,560
"FIESTA",2,2,6,6,6,8,6,8,8,8
"FINGERHOTS",10,10,19,20,25,24,21,16,19,17
"FINGERLING POTATOES",33,38,55,84,71,65,68,78,79,89
"FIRE CURED (022)",15,16,21,24,23,25,21,24,0,0
"FIRE CURED (023)",11,8,7,7,10,9,9,7,0,0
"FLAME SEEDLESS",11,9,24,18,14,10,11,15,16,12
"FLAMINGO",1,1,0,0,0,0,0,1,0,0
"FLAT",6,4,3,4,6,2,1,1,4,4
"FLAT SMALL WHITE",3,2,10,8,5,5,8,6,9,8
"FLOUNDER",0,1,0,0,0,0,0,0,0,0
"FLOWERING KALE",11,8,23,14,26,30,24,18,16,15
"FLUE CURED (012)",29,29,60,55,44,56,63,61,0,0
"FLUE CURED (013)",22,22,18,18,19,21,25,23,0,0
"FLUE CURED (014)",46,34,55,50,56,53,55,51,0,0
"FLUE CURED (11A)",35,33,62,59,65,59,60,62,0,0
"FLUE CURED (11B)",15,14,21,26,22,24,20,24,0,0
"FNO",0,0,0,0,0,1,0,0,0,0
"FOCH",36,36,54,45,46,34,37,39,37,37
"FORAGE TURNIP",0,31,51,56,66,69,69,98,60,55
"FORGET-ME-NOT",0,0,0,2,3,0,0,2,7,7
"FORGETMENOT",0,0,1,0,0,0,0,0,0,0
"FOSCH",6,7,13,13,11,14,10,8,10,11
"FOURWING SALTBUSH",1,1,0,1,2,2,2,2,2,2
"FOXTAIL",0,0,0,0,0,0,0,0,70,130
"FRASIER FIR",74,80,110,109,111,113,132,135,138,140
"FREDONIA",12,8,19,22,22,24,26,28,29,28
"FREESTONE EARLY SEASON",0,0,69,90,84,96,99,104,105,101
"FREESTONE LATE SEASON",0,0,25,36,38,44,47,49,52,54
"FREESTONE MID SEASON",0,0,98,99,110,117,146,153,145,147
"FREESTONE PEACHES",446,443,539,529,538,532,546,531,542,507
"FRESIA",0,0,2,1,0,0,0,0,0,1
"FRESNO",0,0,0,4,6,4,8,8,5,2
"FRIZEE/BELGIAN ENDIVE",11,11,18,15,13,8,8,10,6,9
"FRONTENAC",70,73,117,128,137,145,148,152,162,155
"FRONTENAC BLANC",0,0,0,0,0,0,0,0,6,14
"FRONTENAC GRIS",13,21,37,47,53,49,59,59,61,64
"FXT",0,0,0,0,0,0,0,71,0,0
"GALLETA",1,1,8,4,1,3,6,1,2,5
"GAMAY BEAUJOLAIS",0,1,7,5,8,8,8,6,9,9
"GAMAY/NAPA GAMAY",7,8,6,9,7,8,5,9,7,10
"GARBANZO- LARGE KABULI (CHICKP",0,0,0,135,103,127,112,132,0,0
"GARBANZO- SMALL DESI (CHICKPEA",0,0,0,45,50,26,32,30,0,0
"GARBANZO- SMALL KABULI (CHICKP",0,0,0,53,42,48,42,65,0,0
"GARBANZO  LG KABULI (CHICKPEAS)",0,0,0,0,0,0,0,0,248,290
"GARBANZO  SM DESI (CHICKPEAS)",0,0,0,0,0,0,0,0,51,53
"GARBANZO  SM KABULI (CHICKPEAS)",0,0,0,0,0,0,0,0,94,93
"GARBANZO LARGE KABULI (CHICKP",0,0,127,0,0,0,0,0,0,0
"GARBANZO SMALL DESI (CHICKPEA",0,0,25,0,0,0,0,0,0,0
"GARBANZO SMALL KABULI (CHICKP",0,0,40,0,0,0,0,0,0,0
"GARBANZO, LARGE KABULI (CHICKP",74,77,0,0,0,0,0,0,0,0
"GARBANZO, SMALL DESI (CHICKPEA",18,27,0,0,0,0,0,0,0,0
"GARDENIA",0,0,3,3,2,4,4,4,4,3
"GARNET",1,4,6,4,2,1,3,3,4,7
"GARRISON CREEPING FOXTAIL",87,89,137,142,139,145,153,139,139,143
"GENEVA RED #7",8,6,7,5,10,13,15,15,15,13
"GEORGE BLACK MEDIC",1,2,5,2,2,2,2,1,1,1
"GEORGIA RED",45,37,49,56,37,24,35,26,30,17
"GEWURTZTRAMINER",37,37,68,64,69,68,67,62,64,66
"GGV",0,0,0,1,64,103,145,237,0,0
"GHOST",59,52,64,78,67,68,91,101,126,97
"GILIA",1,0,2,0,0,2,2,0,0,2
"GINGER",4,2,6,5,1,1,3,3,3,3
"GINGER PINK",0,0,2,2,1,0,0,1,1,1
"GINGER RED",0,0,1,1,0,1,0,1,1,1
"GLADIOLI",52,42,64,61,59,50,46,50,44,38
"GLV",0,0,0,1,69,126,203,287,0,0
"GOBO",0,0,0,2,2,2,2,4,4,3
"GODETIA",2,1,2,2,2,2,4,2,6,2
"GOLDEN SWEET",46,47,45,73,49,31,35,49,37,29
"GOLDENROD",2,3,6,7,4,4,4,7,7,6
"GOLDENSEAL",3,3,3,5,5,3,3,3,2,2
"GOMPHRENA",2,4,3,0,3,2,7,8,11,10
"GORDO BLUESTEM",37,39,48,46,43,39,45,44,44,42
"GOURMET MINI",3,5,6,10,14,7,6,14,7,15
"GRAIN",2121,1913,2243,2279,2676,2533,2876,2470,2208,2138
"GRAINLESS FORAGE",0,2,66,39,43,35,26,28,26,17
"GRAMA- BLUE HACHITA",0,0,0,21,19,18,20,17,0,0
"GRAMA- BLUE LOVINGTON",0,0,0,9,12,7,9,11,0,0
"GRAMA- HAIRY",0,0,0,7,6,7,6,6,0,0
"GRAMA- SIDE OATS",0,0,0,135,129,128,123,119,0,0
"GRAMA  BLUE HACHITA",0,0,0,0,0,0,0,0,14,17
"GRAMA  BLUE LOVINGTON",0,0,0,0,0,0,0,0,10,8
"GRAMA  HAIRY",0,0,0,0,0,0,0,0,6,4
"GRAMA  SIDE OATS",0,0,0,0,0,0,0,0,112,114
"GRAMA BLUE HACHITA",0,0,18,0,0,0,0,0,0,0
"GRAMA BLUE LOVINGTON",0,0,5,0,0,0,0,0,0,0
"GRAMA HAIRY",0,0,5,0,0,0,0,0,0,0
"GRAMA SIDE OATS",0,0,145,0,0,0,0,0,0,0
"GRAMA, BLUE HACHITA",11,6,0,0,0,0,0,0,0,0
"GRAMA, BLUE LOVINGTON",7,4,0,0,0,0,0,0,0,0
"GRAMA, HAIRY",3,5,0,0,0,0,0,0,0,0
"GRAMA, SIDE OATS",119,107,0,0,0,0,0,0,0,0
"GRAND FIR",2,4,10,9,8,11,12,18,16,16
"GRAPE",85,88,186,193,159,148,148,170,165,136
"GRASS MIX-BELOW 25% ALFALFA",1157,1215,0,1871,1904,1958,2045,2053,0,0
"GRASS MIX - < 25% ALFALFA",0,0,0,0,0,0,0,0,2036,2088
"GRASS MIXBELOW 25% ALFALFA",0,0,2026,0,0,0,0,0,0,0
"GRASS/SMALL GRAIN INTERSEEDING",479,511,732,756,742,676,768,829,0,0
"GRASS/SML GRN INTERSEEDED",0,0,0,0,0,0,0,0,883,799
"GRAZA",0,0,0,0,0,0,0,0,1,1
"GRB",0,0,0,0,0,4,6,12,0,0
"GREAT NORTHERN",54,65,90,90,114,143,120,81,80,81
"GREEN",1326,1315,1779,1751,1554,1540,1616,1594,1453,1309
"GREEN BABY FRENCH",5,5,5,6,5,1,6,3,2,6
"GREEN BARTLETT",132,139,190,162,152,155,162,170,170,168
"GREEN BELL",712,695,1030,993,864,829,914,957,885,858
"GREEN CHILI",36,32,97,90,74,54,68,63,60,51
"GREEN GODDESS",0,0,0,1,0,0,0,0,0,0
"GREEN HUNGARIAN",0,0,2,2,2,2,2,2,4,0
"GREEN NEEDLE",38,33,35,30,26,24,22,24,20,20
"GREEN PANIC",13,11,8,6,5,7,8,7,7,7
"GREEN SPRANGLE TOP",19,14,15,16,16,12,12,11,11,12
"GREEN SWISSCHARD",76,89,111,121,113,102,113,128,97,108
"GRENACHE",24,26,50,45,48,56,40,48,50,56
"GRENACHE BLANC",0,0,0,0,0,0,0,0,8,6
"GREY RIESLING",1,2,4,4,4,2,4,4,4,4
"GROWOUT CLAMS",9,10,13,8,8,14,15,21,25,18
"GRUNER VELTLINER",0,0,0,0,0,0,0,0,9,12
"GRV",0,0,0,0,0,0,0,2,0,0
"GUINEA",2,2,15,10,14,10,9,8,9,9
"GUPPY",2,2,10,7,7,8,4,4,0,0
"GYPOCHILLA",1,0,4,0,0,0,2,0,0,1
"GYPSY",0,0,1,0,0,0,0,0,0,0
"HABANERO",58,64,125,104,102,96,92,118,87,94
"HAIRY VETCH",37,30,31,52,46,38,52,58,48,40
"HANNAH",4,1,0,0,0,0,1,0,1,1
"HANOVER",0,0,3,1,1,1,2,1,2,2
"HARD AMBER DURUM",176,194,300,214,209,227,271,283,0,0
"HARD AMBER DURUM  SPRING",0,0,0,0,0,0,0,0,239,212
"HARD AMBER DURUM  WINTER",0,0,0,0,0,0,0,0,150,139
"HARD RED SPRING",912,903,1479,1161,1214,1236,1213,1167,1084,1196
"HARD RED WINTER",3020,2776,4380,4239,4456,4264,4181,4079,3849,3697
"HARD WHITE SPRING",77,83,215,187,185,153,158,203,148,178
"HARD WHITE WINTER",206,185,522,343,393,342,369,339,369,306
"HATTERAS",3,1,1,2,2,0,1,1,1,2
"HAW",0,0,0,0,0,0,0,181,0,0
"HAY OATS AND PEAS",224,231,385,410,500,473,522,567,521,556
"HEATHER FIRECRACKER",0,0,0,0,0,2,0,0,0,0
"HEATHER REGEMINA",0,0,0,0,0,0,0,2,0,0
"HEIRLOOM",0,0,0,0,0,0,0,0,143,140
"HELICHRYSUM",0,0,0,0,0,0,0,0,1,0
"HELICONIA",3,3,3,6,3,3,3,3,3,3
"HELICONIA PSITTACORM",0,0,0,0,0,0,0,1,1,1
"HERNANDEZ",15,17,19,20,20,12,18,7,14,13
"HIGH AMYLASE",0,0,0,0,0,0,0,0,41,58
"HIGH PROTEIN",0,0,0,0,0,0,0,0,27,24
"HIGHBUSH",384,410,580,582,605,608,674,664,687,670
"HILO",1,1,1,1,1,1,2,2,2,2
"HIMROD",13,13,20,15,19,19,25,17,16,19
"HLS",0,0,0,0,0,0,0,133,0,0
"HLW",0,0,0,0,0,0,0,42,0,0
"HOLLYHOCK",0,1,0,0,1,0,0,1,3,1
"HONEYSUCKLE HALL'S",0,0,0,1,0,0,0,0,0,0
"HOSTAS",0,2,4,2,3,2,1,1,1,1
"HOT CHERRY",47,46,77,81,66,58,71,73,59,61
"HOWDEN PUMPKINS",324,300,444,405,359,320,329,334,321,307
"HPT",0,0,0,0,8,17,23,21,0,0
"HULLESS",24,23,106,89,86,69,79,1,0,0
"HULLESS  SPRING",0,0,0,0,0,0,0,0,94,82
"HULLESS  WINTER",0,0,0,0,0,0,0,0,44,44
"HUNGARIAN HOT WAX",0,0,40,39,63,47,71,79,78,75
"HYBIRD INTERPLANTING FORAGE",20,16,68,84,80,88,62,71,85,60
"HYBRID",1776,1809,2946,2910,2649,2542,2663,2769,2551,2291
"HYBRID BENT",2,2,5,4,3,4,1,0,0,0
"HYBRID BERMUDA",655,634,876,851,864,841,829,917,947,961
"HYBRID CABBAGE",550,558,793,777,694,668,702,730,696,649
"HYBRID MUSTARD",86,76,124,128,108,91,111,122,93,90
"HYBRID STANDARDPLANT FG",51,29,165,145,173,146,125,137,155,145
"HYBRID STANDARDPLANT GR",17,8,80,73,70,57,58,50,55,57
"HYBRID STANDARDPLANT SU",11,8,61,38,37,46,39,43,49,23
"HYBRID TURNIP",144,109,185,162,169,144,150,185,143,138
"HYDRANGEA/HORTENSIA",1,1,4,3,3,0,0,3,4,5
"ICE BOX/SUGAR BABIES",95,102,125,117,100,74,77,95,103,70
"IDAHO FESCUE",16,13,18,13,16,13,16,11,8,10
"ILIMA LANTERN",0,0,3,2,2,2,3,3,2,1
"ILLINOIS BUNDLE FLOWER",12,10,15,14,10,8,6,8,8,8
"IMPROVED PECANS",395,386,558,546,558,533,540,541,540,566
"INDIAN",129,129,143,131,113,105,105,105,104,98
"INDIAN RICEGRASS",26,23,36,30,31,28,27,27,21,21
"INTERMEDIATE RYEGRASS",17,15,66,53,67,69,71,72,69,82
"INTERMEDIATE WHEAT",284,272,352,337,336,335,353,356,374,372
"IRIS",19,19,19,15,14,14,16,11,8,9
"IRIS DUTCH",1,2,2,0,2,0,1,0,0,0
"IRISH REDSKINNED POTATOES",79,82,90,74,71,57,53,69,50,60
"ISABELLA",3,3,6,8,5,5,4,5,5,5
"ITALIA",2,2,0,0,0,0,0,0,3,5
"ITALIAN",16,15,32,26,21,20,32,31,27,23
"IVES",4,6,8,8,10,8,8,6,5,6
"JACK-O-LANTERN",1046,1013,0,1359,1300,1279,1336,1404,1377,1343
"JACKOLANTERN",0,0,1347,0,0,0,0,0,0,0
"JACOBS CATTLE",13,7,17,9,9,12,8,9,10,4
"JALAPENO",265,293,454,411,388,353,412,424,399,402
"JAMAICA",0,0,0,0,0,0,0,0,2,2
"JAPANESE",9,15,18,14,21,22,22,35,87,122
"JERSEY",5,3,3,4,4,1,5,7,1,2
"JEWEL",13,14,19,11,16,19,16,6,7,11
"JOHNSON",320,300,373,348,335,314,316,296,286,291
"JOSE TALL WHEATGRASS",64,58,164,146,146,145,142,139,138,143
"JPN",0,0,0,37,57,68,63,59,0,0
"JUBILEE",160,155,238,206,161,147,143,176,157,124
"JUNEGRASS",12,18,56,54,52,47,42,42,45,44
"JUPITER",3,5,6,6,7,9,17,16,18,22
"KADOTA",4,4,6,7,8,7,6,2,4,4
"KALMS BROME",9,3,15,7,7,2,3,2,2,0
"KANGAROO PAW",0,0,0,1,0,0,0,0,0,0
"KAY GRAY",3,2,2,2,2,4,3,2,4,2
"KENTUCKY 31 FESCUE",51,53,202,121,111,116,116,119,113,118
"KENTUCKY BLUE",2,3,9,8,8,6,9,15,7,11
"KENTUCKY BLUEGRASS",597,577,744,654,640,667,685,730,695,720
"KERNER",0,0,0,0,0,1,3,2,2,2
"KEY",1,0,2,5,4,4,4,6,7,11
"KIKUYU",2,1,7,4,4,3,8,6,4,4
"KING OF THE NORTH",6,6,6,9,9,10,15,15,16,17
"KINTOKI",1,1,0,0,0,0,0,0,0,0
"KIOWA/OUACHITA",15,22,58,53,51,61,68,85,96,99
"KLEBERG BLUESTEM",47,46,55,49,48,52,56,54,53,47
"KLEIN",295,281,324,307,292,292,280,286,289,285
"KOBACHA/CALABAZA",30,29,62,49,52,40,46,43,52,42
"KOI CARP",1,5,9,8,12,12,12,9,9,9
"KOOKOOLAU",1,1,1,0,0,0,0,1,1,1
"KOREAN",12,12,17,17,11,15,19,14,9,9
"KOREAN FIR",0,0,2,4,4,6,8,9,10,11
"KOTATA BLACKBERRIES",15,11,21,19,19,16,18,19,20,17
"KURA CLOVER",1,1,4,0,1,2,6,6,7,7
"KYOHO",1,1,0,0,2,5,2,2,2,2
"LA 07-0147",0,0,0,0,0,0,0,0,19,15
"LACRESENT",20,29,44,60,56,64,75,84,90,88
"LACROSSE",32,25,50,47,52,42,43,40,43,41
"LAKEMONT",1,0,0,2,1,1,2,2,3,4
"LANDOT NOIR",1,1,3,8,6,9,11,8,9,8
"LAO",0,0,0,0,0,5,14,12,0,0
"LARGE LIMA",92,74,117,96,99,93,96,92,87,94
"LARGE MOUTH BASS",7,9,15,20,30,25,19,22,24,21
"LARGE SEEDED FOOD GRADE",0,0,0,0,0,0,0,0,83,106
"LARGE SHRIMP",5,4,1,5,1,3,0,1,1,1
"LARKSPUR",8,5,9,6,6,6,10,6,11,8
"LATE",76,82,105,107,109,104,108,98,90,91
"LATE SEASON",0,0,13,16,14,17,18,15,16,17
"LAVENDER",20,17,32,24,34,40,37,38,59,53
"LEAF LETTUCE",198,210,329,331,287,241,293,295,265,250
"LEAF SPINACH",174,164,273,239,222,215,243,262,223,201
"LEGUME/COARSE GRAIN",19,16,98,56,69,80,76,91,70,83
"LEGUME/GRASS MIXTURE",1343,1423,2232,2060,2078,2269,2455,2616,2696,2885
"LEGUME/SMALL GRAIN",429,429,624,628,682,716,769,849,780,765
"LEGUME/SMALL GRAIN/GRASS",88,81,251,251,233,261,286,378,345,335
"LEGUME/SML GRN/GRASS/VEGTB",0,0,0,0,0,0,0,0,229,224
"LEGUMES",0,0,0,0,0,0,0,0,223,223
"LEMBERGER",16,20,29,31,36,42,40,32,33,36
"LEMON BALM",3,3,1,1,1,2,1,5,4,4
"LEMON GRASS",6,8,13,12,6,4,5,8,8,9
"LEMON VERBENA",1,1,2,2,2,2,4,3,4,2
"LEON MILLOT/MILLOT",15,16,18,12,15,13,13,19,20,17
"LERADO",93,66,48,42,31,31,22,26,25,25
"LERIOPE",0,0,0,1,0,1,1,1,1,1
"LEUCONDENDRON",0,0,0,0,0,2,2,2,2,2
"LEWIS/WILD BLUE",0,0,2,6,6,4,7,9,10,9
"LEYLAND",21,20,23,23,23,18,17,19,17,16
"LGV",0,0,0,1,65,117,172,247,0,0
"LIATRIS",7,7,6,4,2,1,1,2,3,2
"LIBERICA",1,0,1,0,0,0,0,0,0,0
"LIGHT RED KIDNEY",95,85,129,132,126,157,189,113,125,115
"LILAC",8,7,9,7,10,6,6,6,8,5
"LILY ASIATIC",5,7,7,6,6,4,2,0,5,3
"LILY EASTER",1,1,2,0,0,1,0,0,0,2
"LILY ORIENTAL",5,3,8,7,6,6,7,2,4,8
"LIMOSINE",0,0,0,0,0,0,0,0,0,2
"LIMPO GRASS",1,0,6,7,11,16,10,8,24,20
"LINARIA - NORTHERN LIGHTS",1,0,0,2,2,2,2,0,0,0
"LINARIA  NORTHERN LIGHTS",0,0,2,0,0,0,0,0,0,0
"LINEUM",1,3,1,3,3,1,1,1,1,0
"LINOLA",8,10,6,9,4,3,3,0,3,1
"LISIANTHUS",5,6,12,10,8,5,2,8,10,9
"LITTLE BLUESTEM",99,87,100,88,96,98,97,98,93,94
"LITTLE WHITE PEARL",2,6,6,7,15,12,13,16,4,3
"LOBELIA",1,0,3,0,1,2,0,1,0,0
"LOGANBERRIES",3,3,4,8,2,2,0,1,3,0
"LONG",5,7,21,13,14,17,16,10,10,12
"LONG GRAIN",236,181,415,312,435,412,571,507,512,416
"LONG JOHNS",20,20,34,35,47,39,34,44,41,33
"LOUISE SWENSON",1,1,3,7,9,8,10,12,12,13
"LOW BUSH BLUEBERRIES",110,105,158,162,159,155,168,161,185,178
"LOW LINOLENIC ACID",0,0,1,3,4,1,5,24,5,2
"LOW SATURATED FAT",0,0,0,0,0,0,0,0,8,3
"LSD",0,0,0,0,30,57,79,90,0,0
"LSF",0,0,0,0,0,0,3,15,0,0
"LUPINE",7,6,11,12,10,8,10,7,11,17
"MAGNAR",9,8,6,6,9,8,9,8,7,8
"MALBEC",26,29,49,59,64,95,102,99,98,101
"MALVASIA BIANCA",4,7,16,16,17,16,11,15,17,13
"MAMAKI",1,0,2,0,1,0,0,0,0,0
"MAMEY SAPOTE",4,4,7,8,6,4,4,8,8,8
"MAMEYA",0,0,2,0,1,1,0,2,0,4
"MAMMOTH",94,83,107,102,72,82,77,90,84,65
"MAMMOTH CLOVER",40,36,30,24,23,27,23,22,21,21
"MAMMOTH WILD",0,0,1,0,0,0,0,0,0,0
"MANDARINS",27,29,55,41,41,47,60,61,69,66
"MANGEL BEETS",6,14,10,4,15,9,11,9,3,6
"MANZANILLO",0,0,0,0,0,0,0,0,46,48
"MARCHEL FOCH",14,13,23,24,21,23,30,29,30,31
"MARICONGO",8,8,16,12,13,12,14,13,15,13
"MARIGOLD",7,9,12,11,11,3,2,14,18,14
"MARIONBERRIES",12,11,25,25,28,24,23,23,21,21
